Districte,,"Total 
aturats","<20 
anys","20-24 
anys","25-29 
anys","30-44 
anys","45 i més 
anys","Total 
aturades","<20 
anys","20-24 
anys","25-29 
anys","30-44 
anys","45 i més 
anys","Total 
aturats","<20 
anys","20-24 
anys","25-29 
anys","30-44 
anys","45 i més 
anys"
TOTAL,,62.515,566,2.039,5.064,19.692,35.154,34.912,238,1.007,2.814,11.312,19.541,27.603,328,1.032,2.250,8.380,15.613
1. Ciutat Vella,,5.593,48,176,494,2.007,2.868,2.771,25,85,274,1.078,1.309,2.822,23,91,220,929,1.559
2. Eixample,,8.454,39,229,784,2.890,4.512,4.606,19,116,414,1.576,2.481,3.848,20,113,370,1.314,2.031
3. Sants-Montjuïc,,7.463,71,243,613,2.376,4.160,4.196,26,113,352,1.352,2.353,3.268,45,131,262,1.024,1.806
4. Les Corts,,2.464,16,72,214,757,1.406,1.406,6,37,108,427,828,1.058,10,35,105,330,578
5. Sarrià-S. Gervasi,,3.236,18,86,280,911,1.940,1.807,6,44,149,533,1.074,1.429,11,42,131,378,866
6. Gràcia,,4.138,34,116,373,1.387,2.229,2.314,12,56,224,811,1.212,1.824,22,60,150,576,1.017
7. Horta-Guinardó,,6.788,58,212,520,2.097,3.901,3.789,23,110,313,1.197,2.146,2.999,35,101,208,900,1.755
8. Nou Barris,,8.442,121,357,665,2.498,4.802,4.911,56,174,384,1.537,2.761,3.531,64,183,281,961,2.042
9. Sant Andreu,,6.091,74,242,466,1.798,3.511,3.568,30,124,251,1.087,2.076,2.523,44,118,215,712,1.434
10. Sant Martí,,9.802,86,305,650,2.956,5.805,5.520,35,147,343,1.704,3.291,4.282,51,158,306,1.252,2.515
NC,,43,2,1,4,15,21,24,0,0,2,11,11,19,2,1,2,4,10